Year,NOC,Lagged_Squad_Size,Lagged_NOC_Events_Entered,Lagged_Sport_Diversity,Lagged_Global_Total_Events,Lagged_Global_Nations_Count,Lagged_Share_of_Entries,Lagged_Expected_Share,Lagged_RCA_Macro,Lagged_Specialization_Index,Lagged_Total_Medals,Lagged_2_Total_Medals,Lagged_3_Total_Medals,Is_Host,Has_Medal_before,Total,Gold,Silver,Bronze
2008,SWE,114.0,79.0,20.0,669.0,201.0,0.011514356507797698,0.004975124378109453,2.314385658067337,3.95,7.0,12.0,8.0,0,1,5,0,4,1
2012,SWE,123.0,81.0,20.0,673.0,204.0,0.011445527766002543,0.004901960784313725,2.3348876642645187,4.05,5.0,7.0,12.0,0,1,8,1,4,3
2016,SWE,133.0,81.0,21.0,670.0,204.0,0.011579699785561115,0.004901960784313725,2.3622587562544677,3.857142857142857,8.0,5.0,7.0,0,1,11,2,6,3
2020,SWE,150.0,79.0,22.0,682.0,205.0,0.011128327933511763,0.004878048780487805,2.2813072263699112,3.590909090909091,11.0,8.0,5.0,0,1,9,3,6,0
2024,SWE,136.0,77.0,23.0,761.0,205.0,0.011222853811397756,0.004878048780487805,2.30068503133654,3.347826086956522,9.0,11.0,8.0,0,1,11,4,4,3
1972,SWZ,,,,,,,,,,,,,0,0,0,0,0,0
1984,SWZ,2.0,4.0,2.0,439.0,121.0,0.000906823849467241,0.008264462809917356,0.10972568578553615,2.0,0.0,,,0,0,0,0,0,0
1988,SWZ,8.0,11.0,4.0,492.0,140.0,0.0024482528377476075,0.007142857142857143,0.3427553972846651,2.75,0.0,0.0,,0,0,0,0,0,0
1992,SWZ,11.0,11.0,4.0,528.0,159.0,0.001906082134811991,0.006289308176100629,0.30306705943510653,2.75,0.0,0.0,0.0,0,0,0,0,0,0
1996,SWZ,6.0,10.0,2.0,573.0,168.0,0.0015946420028703557,0.005952380952380952,0.26789985648221976,5.0,0.0,0.0,0.0,0,0,0,0,0,0
2000,SWZ,6.0,5.0,3.0,604.0,197.0,0.0007382253063635022,0.005076142131979695,0.14543038535360994,1.6666666666666667,0.0,0.0,0.0,0,0,0,0,0,0
2004,SWZ,6.0,6.0,4.0,667.0,199.0,0.0008547008547008547,0.005025125628140704,0.1700854700854701,1.5,0.0,0.0,0.0,0,0,0,0,0,0
2008,SWZ,3.0,3.0,2.0,669.0,201.0,0.00043725404459991256,0.004975124378109453,0.08788806296458243,1.5,0.0,0.0,0.0,0,0,0,0,0,0
2012,SWZ,4.0,4.0,2.0,673.0,204.0,0.0005652112477038293,0.004901960784313725,0.11530309453158118,2.0,0.0,0.0,0.0,0,0,0,0,0,0
2016,SWZ,3.0,3.0,2.0,670.0,204.0,0.00042887776983559683,0.004901960784313725,0.08749106504646176,1.5,0.0,0.0,0.0,0,0,0,0,0,0
2020,SWZ,2.0,2.0,1.0,682.0,205.0,0.0002817298211015636,0.004878048780487805,0.05775461332582054,2.0,0.0,0.0,0.0,0,0,0,0,0,0
2024,SWZ,4.0,4.0,3.0,761.0,205.0,0.0005830053927998834,0.004878048780487805,0.1195161055239761,1.3333333333333333,0.0,0.0,0.0,0,0,0,0,0,0
1948,SYR,,,,,,,,,,,,,0,0,0,0,0,0
1968,SYR,1.0,1.0,1.0,312.0,59.0,0.0004522840343735866,0.01694915254237288,0.02668475802804161,1.0,0.0,,,0,0,0,0,0,0
1972,SYR,2.0,2.0,1.0,386.0,112.0,0.0005428881650380022,0.008928571428571428,0.06080347448425625,2.0,0.0,0.0,,0,0,0,0,0,0
1980,SYR,5.0,4.0,3.0,439.0,121.0,0.000906823849467241,0.008264462809917356,0.10972568578553615,1.3333333333333333,0.0,0.0,0.0,0,0,0,0,0,0
1984,SYR,67.0,55.0,7.0,454.0,80.0,0.017225180081428124,0.0125,1.37801440651425,7.857142857142857,0.0,0.0,0.0,0,0,1,0,1,0
1988,SYR,9.0,9.0,5.0,492.0,140.0,0.0020031159581571333,0.007142857142857143,0.28043623414199864,1.8,1.0,0.0,0.0,0,1,0,0,0,0
1992,SYR,13.0,13.0,4.0,528.0,159.0,0.0022526425229596257,0.006289308176100629,0.3581701611505805,3.25,0.0,1.0,0.0,0,1,0,0,0,0
1996,SYR,8.0,9.0,4.0,573.0,168.0,0.00143517780258332,0.005952380952380952,0.2411098708339978,2.25,0.0,0.0,1.0,0,1,1,1,0,0
2000,SYR,7.0,8.0,5.0,604.0,197.0,0.0011811604901816035,0.005076142131979695,0.2326886165657759,1.6,1.0,0.0,0.0,0,1,0,0,0,0
2004,SYR,8.0,7.0,4.0,667.0,199.0,0.0009971509971509972,0.005025125628140704,0.19843304843304843,1.75,0.0,1.0,0.0,0,1,1,0,0,1
2008,SYR,6.0,6.0,5.0,669.0,201.0,0.0008745080891998251,0.004975124378109453,0.17577612592916486,1.2,1.0,0.0,1.0,0,1,0,0,0,0
2012,SYR,7.0,7.0,5.0,673.0,204.0,0.0009891196834817012,0.004901960784313725,0.20178041543026706,1.4,0.0,1.0,0.0,0,1,0,0,0,0
2016,SYR,10.0,10.0,7.0,670.0,204.0,0.0014295925661186562,0.004901960784313725,0.2916368834882059,1.4285714285714286,0.0,0.0,1.0,0,1,0,0,0,0
2020,SYR,7.0,7.0,5.0,682.0,205.0,0.0009860543738554725,0.004878048780487805,0.20214114664037186,1.4,0.0,0.0,0.0,0,1,1,0,0,1
2024,SYR,6.0,6.0,6.0,761.0,205.0,0.0008745080891998251,0.004878048780487805,0.17927415828596416,1.0,1.0,0.0,0.0,0,1,0,0,0,0
1964,TAN,,,,,,,,,,,,,0,0,0,0,0,0
1968,TAN,4.0,4.0,1.0,370.0,93.0,0.0012380068090374497,0.010752688172043012,0.11513463324048281,4.0,0.0,,,0,0,0,0,0,0
1972,TAN,4.0,5.0,2.0,386.0,112.0,0.0013572204125950054,0.008928571428571428,0.15200868621064062,2.5,0.0,0.0,,0,0,0,0,0,0
1980,TAN,15.0,16.0,2.0,439.0,121.0,0.003627295397868964,0.008264462809917356,0.4389027431421446,8.0,0.0,0.0,0.0,0,0,2,0,2,0
1984,TAN,41.0,22.0,3.0,454.0,80.0,0.006890072032571249,0.0125,0.5512057626056999,7.333333333333333,2.0,0.0,0.0,0,1,0,0,0,0
1988,TAN,18.0,14.0,2.0,492.0,140.0,0.0031159581571333183,0.007142857142857143,0.43623414199866456,7.0,0.0,2.0,0.0,0,1,0,0,0,0
1992,TAN,10.0,9.0,2.0,528.0,159.0,0.0015595217466643563,0.006289308176100629,0.24796395771963264,4.5,0.0,0.0,2.0,0,1,0,0,0,0
1996,TAN,9.0,7.0,2.0,573.0,168.0,0.001116249402009249,0.005952380952380952,0.18752989953755383,3.5,0.0,0.0,0.0,0,1,0,0,0,0
2000,TAN,7.0,5.0,2.0,604.0,197.0,0.0007382253063635022,0.005076142131979695,0.14543038535360994,2.5,0.0,0.0,0.0,0,1,0,0,0,0
2004,TAN,4.0,2.0,1.0,667.0,199.0,0.0002849002849002849,0.005025125628140704,0.05669515669515669,2.0,0.0,0.0,0.0,0,1,0,0,0,0
2008,TAN,8.0,6.0,1.0,669.0,201.0,0.0008745080891998251,0.004975124378109453,0.17577612592916486,6.0,0.0,0.0,0.0,0,1,0,0,0,0
2012,TAN,9.0,6.0,2.0,673.0,204.0,0.000847816871555744,0.004901960784313725,0.17295464179737177,3.0,0.0,0.0,0.0,0,1,0,0,0,0
2016,TAN,6.0,5.0,3.0,670.0,204.0,0.0007147962830593281,0.004901960784313725,0.14581844174410294,1.6666666666666667,0.0,0.0,0.0,0,1,0,0,0,0
2020,TAN,7.0,5.0,3.0,682.0,205.0,0.000704324552753909,0.004878048780487805,0.14438653331455134,1.6666666666666667,0.0,0.0,0.0,0,1,0,0,0,0
2024,TAN,3.0,2.0,1.0,761.0,205.0,0.0002915026963999417,0.004878048780487805,0.05975805276198805,2.0,0.0,0.0,0.0,0,1,0,0,0,0
1920,TCH,,,,,,,,,,,,,0,0,2,0,0,2
1924,TCH,119.0,53.0,13.0,363.0,29.0,0.04405652535328346,0.034482758620689655,1.2776392352452204,4.076923076923077,2.0,,,0,1,10,1,4,5
1928,TCH,131.0,74.0,15.0,292.0,44.0,0.04573547589616811,0.022727272727272728,2.012360939431397,4.933333333333334,10.0,2.0,,0,1,9,2,5,2
1932,TCH,69.0,51.0,14.0,252.0,46.0,0.03328981723237598,0.021739130434782608,1.531331592689295,3.642857142857143,9.0,10.0,2.0,0,1,0,0,0,0
1936,TCH,7.0,8.0,3.0,268.0,37.0,0.009142857142857144,0.02702702702702703,0.3382857142857143,2.6666666666666665,0.0,9.0,10.0,0,1,9,3,5,1
1948,TCH,163.0,95.0,16.0,302.0,49.0,0.04611650485436893,0.02040816326530612,2.2597087378640777,5.9375,9.0,0.0,9.0,0,1,11,6,2,3
1952,TCH,76.0,49.0,10.0,312.0,59.0,0.022161917684305744,0.01694915254237288,1.3075531433740388,4.9,11.0,9.0,0.0,0,1,13,7,3,3
1956,TCH,99.0,70.0,11.0,338.0,69.0,0.023553162853297442,0.014492753623188406,1.6251682368775235,6.363636363636363,13.0,11.0,9.0,0,1,6,1,4,1
1960,TCH,63.0,54.0,10.0,342.0,72.0,0.02487333026255182,0.013888888888888888,1.7908797789037312,5.4,6.0,13.0,11.0,0,1,0,0,0,0
1964,TCH,116.0,75.0,13.0,340.0,84.0,0.022275022275022274,0.011904761904761904,1.8711018711018712,5.769230769230769,0.0,6.0,13.0,0,1,14,5,6,3
1968,TCH,104.0,64.0,13.0,370.0,93.0,0.019808108944599195,0.010752688172043012,1.842154131847725,4.923076923076923,14.0,0.0,6.0,0,1,13,7,2,4
1972,TCH,121.0,66.0,14.0,386.0,112.0,0.017915309446254073,0.008928571428571428,2.0065146579804565,4.714285714285714,13.0,14.0,0.0,0,1,8,2,4,2
1976,TCH,181.0,93.0,17.0,439.0,121.0,0.021083654500113354,0.008264462809917356,2.5511221945137157,5.470588235294118,8.0,13.0,14.0,0,1,8,2,2,4
1980,TCH,163.0,79.0,16.0,444.0,92.0,0.021033013844515443,0.010869565217391304,1.935037273695421,4.9375,8.0,8.0,13.0,0,1,14,2,3,9
1988,TCH,209.0,114.0,21.0,454.0,80.0,0.035703100532414656,0.0125,2.8562480425931724,5.428571428571429,14.0,8.0,8.0,0,1,8,3,3,2
1992,TCH,163.0,97.0,17.0,528.0,159.0,0.016808178825160284,0.006289308176100629,2.672500433200485,5.705882352941177,8.0,14.0,8.0,0,1,7,4,2,1
1984,TGA,,,,,,,,,,,,,0,0,0,0,0,0
1988,TGA,7.0,7.0,1.0,492.0,140.0,0.0015579790785666592,0.007142857142857143,0.21811707099933228,7.0,0.0,,,0,0,0,0,0,0
1992,TGA,5.0,7.0,2.0,528.0,159.0,0.0012129613585167215,0.006289308176100629,0.19286085600415873,3.5,0.0,0.0,,0,0,0,0,0,0
1996,TGA,5.0,5.0,2.0,573.0,168.0,0.0007973210014351779,0.005952380952380952,0.13394992824110988,2.5,0.0,0.0,0.0,0,0,1,0,1,0
2000,TGA,5.0,5.0,3.0,604.0,197.0,0.0007382253063635022,0.005076142131979695,0.14543038535360994,1.6666666666666667,1.0,0.0,0.0,0,1,0,0,0,0
2004,TGA,3.0,3.0,2.0,667.0,199.0,0.00042735042735042735,0.005025125628140704,0.08504273504273505,1.5,0.0,1.0,0.0,0,1,0,0,0,0
2008,TGA,5.0,5.0,4.0,669.0,201.0,0.0007287567409998542,0.004975124378109453,0.14648010494097072,1.25,0.0,0.0,1.0,0,1,0,0,0,0
2012,TGA,3.0,3.0,2.0,673.0,204.0,0.000423908435777872,0.004901960784313725,0.08647732089868589,1.5,0.0,0.0,0.0,0,1,0,0,0,0
2016,TGA,3.0,3.0,2.0,670.0,204.0,0.00042887776983559683,0.004901960784313725,0.08749106504646176,1.5,0.0,0.0,0.0,0,1,0,0,0,0
2020,TGA,7.0,7.0,4.0,682.0,205.0,0.0009860543738554725,0.004878048780487805,0.20214114664037186,1.75,0.0,0.0,0.0,0,1,0,0,0,0
2024,TGA,6.0,6.0,4.0,761.0,205.0,0.0008745080891998251,0.004878048780487805,0.17927415828596416,1.5,0.0,0.0,0.0,0,1,0,0,0,0
1952,THA,,,,,,,,,,,,,0,0,0,0,0,0
1956,THA,8.0,7.0,1.0,338.0,69.0,0.0023553162853297443,0.014492753623188406,0.16251682368775236,7.0,0.0,,,0,0,0,0,0,0
1960,THA,35.0,14.0,5.0,342.0,72.0,0.006448641179180101,0.013888888888888888,0.4643021649009673,2.8,0.0,0.0,,0,0,0,0,0,0
1964,THA,20.0,16.0,4.0,340.0,84.0,0.004752004752004752,0.011904761904761904,0.39916839916839914,4.0,0.0,0.0,0.0,0,0,0,0,0,0
1968,THA,54.0,41.0,8.0,370.0,93.0,0.012689569792633859,0.010752688172043012,1.1801299907149487,5.125,0.0,0.0,0.0,0,0,0,0,0,0
1972,THA,41.0,18.0,6.0,386.0,112.0,0.004885993485342019,0.008928571428571428,0.5472312703583062,3.0,0.0,0.0,0.0,0,0,0,0,0,0
1976,THA,33.0,21.0,7.0,439.0,121.0,0.004760825209703015,0.008264462809917356,0.5760598503740648,3.0,0.0,0.0,0.0,0,0,1,0,0,1
1984,THA,42.0,33.0,11.0,444.0,92.0,0.00878594249201278,0.010869565217391304,0.8083067092651757,3.0,1.0,0.0,0.0,0,1,1,0,1,0
1988,THA,35.0,25.0,5.0,492.0,140.0,0.005564210994880926,0.007142857142857143,0.7789895392833297,5.0,1.0,1.0,0.0,0,1,1,0,0,1
1992,THA,14.0,12.0,4.0,528.0,159.0,0.0020793623288858083,0.006289308176100629,0.3306186102928435,3.0,1.0,1.0,1.0,0,1,1,0,0,1
1996,THA,46.0,47.0,9.0,573.0,168.0,0.007494817413490671,0.005952380952380952,1.2591293254664329,5.222222222222222,1.0,1.0,1.0,0,1,2,1,0,1
2000,THA,37.0,42.0,10.0,604.0,197.0,0.006201092573453418,0.005076142131979695,1.2216152369703233,4.2,2.0,1.0,1.0,0,1,3,1,0,2
2004,THA,52.0,51.0,11.0,667.0,199.0,0.007264957264957265,0.005025125628140704,1.4457264957264957,4.636363636363637,3.0,2.0,1.0,0,1,8,3,1,4
2008,THA,42.0,46.0,13.0,669.0,201.0,0.006704562017198659,0.004975124378109453,1.3476169654569305,3.5384615384615383,8.0,3.0,2.0,0,1,6,2,2,2
2012,THA,47.0,43.0,12.0,673.0,204.0,0.006076020912816165,0.004901960784313725,1.2395082662144976,3.5833333333333335,6.0,8.0,3.0,0,1,4,0,2,2
2016,THA,37.0,37.0,15.0,670.0,204.0,0.0052894924946390275,0.004901960784313725,1.0790564689063615,2.466666666666667,4.0,6.0,8.0,0,1,6,2,2,2
2020,THA,54.0,45.0,15.0,682.0,205.0,0.006338920974785181,0.004878048780487805,1.299478799830962,3.0,6.0,4.0,6.0,0,1,2,1,0,1
2024,THA,41.0,33.0,15.0,761.0,205.0,0.004809794490599038,0.004878048780487805,0.9860078705728028,2.2,2.0,6.0,4.0,0,1,6,1,3,2
1996,TJK,,,,,,,,,,,,,0,0,0,0,0,0
2000,TJK,8.0,8.0,5.0,604.0,197.0,0.0011811604901816035,0.005076142131979695,0.2326886165657759,1.6,0.0,,,0,0,0,0,0,0
2004,TJK,4.0,4.0,2.0,667.0,199.0,0.0005698005698005698,0.005025125628140704,0.11339031339031339,2.0,0.0,0.0,,0,0,0,0,0,0
2008,TJK,9.0,9.0,5.0,669.0,201.0,0.0013117621337997377,0.004975124378109453,0.26366418889374726,1.8,0.0,0.0,0.0,0,0,2,0,1,1
2012,TJK,15.0,16.0,8.0,673.0,204.0,0.002260844990815317,0.004901960784313725,0.4612123781263247,2.0,2.0,0.0,0.0,0,1,1,0,0,1
2016,TJK,16.0,16.0,7.0,670.0,204.0,0.0022873481057898498,0.004901960784313725,0.46661901358112934,2.2857142857142856,1.0,2.0,0.0,0,1,1,1,0,0
2020,TJK,7.0,7.0,4.0,682.0,205.0,0.0009860543738554725,0.004878048780487805,0.20214114664037186,1.75,1.0,1.0,2.0,0,1,0,0,0,0
2024,TJK,10.0,10.0,4.0,761.0,205.0,0.0014575134819997085,0.004878048780487805,0.2987902638099402,2.5,0.0,1.0,1.0,0,1,3,0,0,3
1996,TKM,,,,,,,,,,,,,0,0,0,0,0,0
2000,TKM,7.0,7.0,6.0,604.0,197.0,0.001033515428908903,0.005076142131979695,0.2036025394950539,1.1666666666666667,0.0,,,0,0,0,0,0,0
2004,TKM,8.0,8.0,6.0,667.0,199.0,0.0011396011396011395,0.005025125628140704,0.22678062678062677,1.3333333333333333,0.0,0.0,,0,0,0,0,0,0
2008,TKM,9.0,10.0,6.0,669.0,201.0,0.0014575134819997085,0.004975124378109453,0.29296020988194144,1.6666666666666667,0.0,0.0,0.0,0,0,0,0,0,0
2012,TKM,10.0,9.0,6.0,673.0,204.0,0.001271725307333616,0.004901960784313725,0.25943196269605767,1.5,0.0,0.0,0.0,0,0,0,0,0,0
2016,TKM,10.0,10.0,5.0,670.0,204.0,0.0014295925661186562,0.004901960784313725,0.2916368834882059,2.0,0.0,0.0,0.0,0,0,0,0,0,0
2020,TKM,9.0,9.0,5.0,682.0,205.0,0.0012677841949570363,0.004878048780487805,0.25989575996619246,1.8,0.0,0.0,0.0,0,0,1,0,1,0
2024,TKM,9.0,10.0,4.0,761.0,205.0,0.0014575134819997085,0.004878048780487805,0.2987902638099402,2.5,1.0,0.0,0.0,0,1,0,0,0,0
2004,TLS,,,,,,,,,,,,,0,0,0,0,0,0
2008,TLS,2.0,2.0,1.0,669.0,201.0,0.0002915026963999417,0.004975124378109453,0.05859204197638828,2.0,0.0,,,0,0,0,0,0,0
2012,TLS,1.0,1.0,1.0,673.0,204.0,0.00014130281192595732,0.004901960784313725,0.028825773632895294,1.0,0.0,0.0,,0,0,0,0,0,0
2016,TLS,2.0,2.0,1.0,670.0,204.0,0.0002859185132237312,0.004901960784313725,0.05832737669764117,2.0,0.0,0.0,0.0,0,0,0,0,0,0
2020,TLS,3.0,3.0,2.0,682.0,205.0,0.0004225947316523454,0.004878048780487805,0.08663191998873081,1.5,0.0,0.0,0.0,0,0,0,0,0,0
2024,TLS,3.0,3.0,2.0,761.0,205.0,0.00043725404459991256,0.004878048780487805,0.08963707914298208,1.5,0.0,0.0,0.0,0,0,0,0,0,0
1972,TOG,,,,,,,,,,,,,0,0,0,0,0,0
1984,TOG,7.0,5.0,3.0,439.0,121.0,0.0011335298118340512,0.008264462809917356,0.1371571072319202,1.6666666666666667,0.0,,,0,0,0,0,0,0
1988,TOG,6.0,6.0,2.0,492.0,140.0,0.0013354106387714222,0.007142857142857143,0.1869574894279991,3.0,0.0,0.0,,0,0,0,0,0,0
1992,TOG,6.0,6.0,2.0,528.0,159.0,0.0010396811644429042,0.006289308176100629,0.16530930514642175,3.0,0.0,0.0,0.0,0,0,0,0,0,0
1996,TOG,6.0,5.0,2.0,573.0,168.0,0.0007973210014351779,0.005952380952380952,0.13394992824110988,2.5,0.0,0.0,0.0,0,0,0,0,0,0
2000,TOG,5.0,4.0,1.0,604.0,197.0,0.0005905802450908018,0.005076142131979695,0.11634430828288796,4.0,0.0,0.0,0.0,0,0,0,0,0,0
2004,TOG,3.0,3.0,2.0,667.0,199.0,0.00042735042735042735,0.005025125628140704,0.08504273504273505,1.5,0.0,0.0,0.0,0,0,0,0,0,0
2008,TOG,3.0,3.0,2.0,669.0,201.0,0.00043725404459991256,0.004975124378109453,0.08788806296458243,1.5,0.0,0.0,0.0,0,0,1,0,0,1
2012,TOG,4.0,4.0,4.0,673.0,204.0,0.0005652112477038293,0.004901960784313725,0.11530309453158118,1.0,1.0,0.0,0.0,0,1,0,0,0,0
2016,TOG,6.0,6.0,5.0,670.0,204.0,0.0008577555396711937,0.004901960784313725,0.17498213009292352,1.2,0.0,1.0,0.0,0,1,0,0,0,0
2020,TOG,5.0,5.0,3.0,682.0,205.0,0.000704324552753909,0.004878048780487805,0.14438653331455134,1.6666666666666667,0.0,0.0,1.0,0,1,0,0,0,0
2024,TOG,4.0,4.0,4.0,761.0,205.0,0.0005830053927998834,0.004878048780487805,0.1195161055239761,1.0,0.0,0.0,0.0,0,1,0,0,0,0
1956,TPE,,,,,,,,,,,,,0,0,0,0,0,0
1960,TPE,20.0,13.0,5.0,342.0,72.0,0.005988023952095809,0.013888888888888888,0.43113772455089827,2.6,0.0,,,0,0,0,0,0,0
1964,TPE,27.0,18.0,6.0,340.0,84.0,0.005346005346005346,0.011904761904761904,0.4490644490644491,3.0,0.0,0.0,,0,0,0,0,0,0
1968,TPE,40.0,46.0,7.0,370.0,93.0,0.01423707830393067,0.010752688172043012,1.3240482822655524,6.571428571428571,0.0,0.0,0.0,0,0,0,0,0,0
1972,TPE,43.0,57.0,8.0,386.0,112.0,0.015472312703583062,0.008928571428571428,1.732899022801303,7.125,0.0,0.0,0.0,0,0,0,0,0,0
1984,TPE,21.0,41.0,10.0,439.0,121.0,0.00929494445703922,0.008264462809917356,1.1246882793017456,4.1,0.0,0.0,0.0,0,0,1,0,0,1
1988,TPE,38.0,40.0,12.0,492.0,140.0,0.00890273759180948,0.007142857142857143,1.2463832628533273,3.3333333333333335,1.0,0.0,0.0,0,1,0,0,0,0
1992,TPE,61.0,84.0,13.0,528.0,159.0,0.014555536302200658,0.006289308176100629,2.3143302720499044,6.461538461538462,0.0,1.0,0.0,0,1,1,0,1,0
1996,TPE,31.0,15.0,7.0,573.0,168.0,0.0023919630043055333,0.005952380952380952,0.4018497847233296,2.142857142857143,1.0,0.0,1.0,0,1,1,0,1,0
2000,TPE,74.0,63.0,14.0,604.0,197.0,0.009301638860180128,0.005076142131979695,1.8324228554554853,4.5,1.0,1.0,0.0,0,1,5,0,1,4
2004,TPE,55.0,59.0,14.0,667.0,199.0,0.008404558404558405,0.005025125628140704,1.6725071225071226,4.214285714285714,5.0,1.0,1.0,0,1,5,2,2,1
2008,TPE,88.0,52.0,14.0,669.0,201.0,0.007579070106398484,0.004975124378109453,1.5233930913860954,3.7142857142857144,5.0,5.0,1.0,0,1,4,1,1,2
2012,TPE,79.0,41.0,15.0,673.0,204.0,0.005793415288964251,0.004901960784313725,1.1818567189487073,2.7333333333333334,4.0,5.0,5.0,0,1,2,1,0,1
2016,TPE,44.0,40.0,14.0,670.0,204.0,0.005718370264474625,0.004901960784313725,1.1665475339528235,2.857142857142857,2.0,4.0,5.0,0,1,3,1,0,2
2020,TPE,55.0,46.0,18.0,682.0,205.0,0.006479785885335963,0.004878048780487805,1.3283561064938723,2.5555555555555554,3.0,2.0,4.0,0,1,12,2,4,6
2024,TPE,68.0,61.0,18.0,761.0,205.0,0.008890832240198222,0.004878048780487805,1.8226206092406354,3.388888888888889,12.0,3.0,2.0,0,1,7,2,0,5
1948,TTO,,,,,,,,,,,,,0,0,1,0,1,0
1952,TTO,5.0,9.0,3.0,312.0,59.0,0.004070556309362279,0.01694915254237288,0.24016282225237448,3.0,1.0,,,0,1,2,0,0,2
1956,TTO,2.0,2.0,1.0,338.0,69.0,0.0006729475100942127,0.014492753623188406,0.046433378196500674,2.0,2.0,1.0,,0,1,0,0,0,0
1964,TTO,6.0,7.0,3.0,342.0,72.0,0.0032243205895900505,0.013888888888888888,0.23215108245048366,2.3333333333333335,0.0,2.0,1.0,0,1,3,0,1,2
1968,TTO,13.0,10.0,4.0,370.0,93.0,0.0030950170225936243,0.010752688172043012,0.287836583101207,2.5,3.0,0.0,2.0,0,1,0,0,0,0
1972,TTO,19.0,14.0,5.0,386.0,112.0,0.003800217155266015,0.008928571428571428,0.4256243213897937,2.8,0.0,3.0,0.0,0,1,0,0,0,0
1976,TTO,19.0,16.0,4.0,439.0,121.0,0.003627295397868964,0.008264462809917356,0.4389027431421446,4.0,0.0,0.0,3.0,0,1,1,1,0,0
1980,TTO,13.0,10.0,3.0,444.0,92.0,0.0026624068157614484,0.010869565217391304,0.24494142705005326,3.3333333333333335,1.0,0.0,0.0,0,1,0,0,0,0
1984,TTO,9.0,5.0,1.0,454.0,80.0,0.0015659254619480112,0.0125,0.12527403695584088,5.0,0.0,1.0,0.0,0,1,0,0,0,0
1988,TTO,16.0,14.0,5.0,492.0,140.0,0.0031159581571333183,0.007142857142857143,0.43623414199866456,2.8,0.0,0.0,1.0,0,1,0,0,0,0
1992,TTO,6.0,9.0,3.0,528.0,159.0,0.0015595217466643563,0.006289308176100629,0.24796395771963264,3.0,0.0,0.0,0.0,0,1,0,0,0,0
1996,TTO,7.0,7.0,2.0,573.0,168.0,0.001116249402009249,0.005952380952380952,0.18752989953755383,3.5,0.0,0.0,0.0,0,1,2,0,0,2
2000,TTO,12.0,14.0,6.0,604.0,197.0,0.002067030857817806,0.005076142131979695,0.4072050789901078,2.3333333333333335,2.0,0.0,0.0,0,1,2,0,1,1
2004,TTO,19.0,18.0,3.0,667.0,199.0,0.002564102564102564,0.005025125628140704,0.5102564102564102,6.0,2.0,2.0,0.0,0,1,1,0,0,1
2008,TTO,19.0,18.0,4.0,669.0,201.0,0.0026235242675994755,0.004975124378109453,0.5273283777874945,4.5,1.0,2.0,2.0,0,1,2,1,1,0
2012,TTO,28.0,19.0,4.0,673.0,204.0,0.0026847534265931894,0.004901960784313725,0.5476896990250106,4.75,2.0,1.0,2.0,0,1,4,1,1,2
2016,TTO,25.0,22.0,6.0,670.0,204.0,0.0031451036454610438,0.004901960784313725,0.641601143674053,3.6666666666666665,4.0,2.0,1.0,0,1,1,0,0,1
2020,TTO,28.0,24.0,8.0,682.0,205.0,0.0033807578532187633,0.004878048780487805,0.6930553599098465,3.0,1.0,4.0,2.0,0,1,0,0,0,0
2024,TTO,33.0,25.0,8.0,761.0,205.0,0.003643783704999271,0.004878048780487805,0.7469756595248506,3.125,0.0,1.0,4.0,0,1,0,0,0,0
1960,TUN,,,,,,,,,,,,,0,0,0,0,0,0
1964,TUN,42.0,22.0,7.0,340.0,84.0,0.006534006534006534,0.011904761904761904,0.5488565488565489,3.142857142857143,0.0,,,0,0,2,0,1,1
1968,TUN,9.0,9.0,3.0,370.0,93.0,0.002785515320334262,0.010752688172043012,0.2590529247910863,3.0,2.0,0.0,,0,1,2,1,0,1
1972,TUN,7.0,7.0,2.0,386.0,112.0,0.0019001085776330076,0.008928571428571428,0.21281216069489686,3.5,2.0,2.0,0.0,0,1,1,0,1,0
1976,TUN,35.0,11.0,5.0,439.0,121.0,0.0024937655860349127,0.008264462809917356,0.3017456359102244,2.2,1.0,2.0,2.0,0,1,0,0,0,0
1984,TUN,15.0,5.0,3.0,444.0,92.0,0.0013312034078807242,0.010869565217391304,0.12247071352502663,1.6666666666666667,0.0,1.0,2.0,0,1,0,0,0,0
1988,TUN,23.0,17.0,6.0,492.0,140.0,0.0037836634765190296,0.007142857142857143,0.5297128867126641,2.8333333333333335,0.0,0.0,1.0,0,1,0,0,0,0
1992,TUN,41.0,14.0,6.0,528.0,159.0,0.002425922717033443,0.006289308176100629,0.38572171200831745,2.3333333333333335,0.0,0.0,0.0,0,1,0,0,0,0
1996,TUN,13.0,13.0,7.0,573.0,168.0,0.0020730346037314625,0.005952380952380952,0.34826981342688573,1.8571428571428572,0.0,0.0,0.0,0,1,1,0,0,1
2000,TUN,51.0,24.0,9.0,604.0,197.0,0.0035434814705448104,0.005076142131979695,0.6980658496973277,2.6666666666666665,1.0,0.0,0.0,0,1,0,0,0,0
2004,TUN,47.0,34.0,10.0,667.0,199.0,0.004843304843304843,0.005025125628140704,0.9638176638176638,3.4,0.0,1.0,0.0,0,1,0,0,0,0
2008,TUN,54.0,37.0,14.0,669.0,201.0,0.005392799883398921,0.004975124378109453,1.0839527765631831,2.642857142857143,0.0,0.0,1.0,0,1,1,1,0,0
2012,TUN,26.0,28.0,10.0,673.0,204.0,0.003956478733926805,0.004901960784313725,0.8071216617210683,2.8,1.0,0.0,0.0,0,1,3,2,0,1
